like_sdize_1,comment_sdlize_1,share_sdlize_1,collect_sdlize_1
21.64586281,18.12666253,12.17953891,23.01950965
2.204204847,8.586196196,8.178781803,1.235326716
4.225931126,13.87577166,6.004884912,2.132322484
15.99739091,11.49728287,7.490913168,8.869873001
1.75446903,2.321114546,9.881278033,0.916922489
3.192389749,9.757041034,16.05786538,0.969935655
8.78126878,5.165593511,4.227437573,12.02773392
1.843773113,3.252963006,4.42596584,1.864817401
1.092528078,6.416235705,3.137521657,1.190769638
1.715372929,1.85987264,4.871401135,3.384311319
1.940462394,2.645316034,7.638837072,0.992539428
1.403229027,3.172242375,2.666368286,0.790243791
1.401127086,2.466596337,5.638222469,1.133853663
1.945223006,2.37677485,5.300807593,1.202478067
1.080507248,1.648838311,4.063349947,1.267037045
3.610198788,3.523218844,2.097513198,14.34453934
2.069873781,2.494690282,2.659331784,2.450401476
0.707475231,1.690517591,2.664794627,0.923427172
1.834081461,2.556549719,4.709359265,0.851225192
1.350941827,1.550311658,2.712791213,0.768940954
1.003269442,1.722304637,3.00564907,1.333059576
0.823854585,3.157469972,1.50363694,0.805855029
0.83344398,1.275439444,2.71863623,0.857242024
2.006338357,2.488491148,1.517799867,3.794919426
2.165335983,2.360155897,1.538010139,1.971819434
0.600935232,1.619293505,2.032318772,0.624049143
2.385358066,2.866506391,1.339346987,6.31922423
1.604515431,1.942044132,3.333262301,0.874479434
1.225075334,1.516941855,2.669358237,0.721131535
2.878223438,2.472135988,1.869624959,1.716835865
3.798225922,3.230408712,4.481223737,1.429328883
6.703562702,5.197908143,4.950960816,1.797493933
2.097596678,2.552329033,2.348354372,0.964406674
1.222734794,1.73707704,1.738898894,1.151578924
0.676389229,1.541606492,1.546283087,0.786991449
1.040025003,1.38649626,1.844738673,0.753167098
1.702863541,1.676272774,1.594302154,2.06808874
4.534359706,1.468403959,1.529737191,3.219417609
1.78203286,1.503884106,1.501343895,0.886187863
1.246378789,1.562841822,1.928772039,0.71251283
1.011790824,1.242069641,2.068670285,0.699991316
6.633335153,1.254467908,2.919547466,5.85609081
1.204987596,1.987812202,1.843569669,0.680477267
2.652156855,2.466728233,3.112815218,1.737162999
1.855975732,3.846365161,0.919045267,1.415506431
0.912806451,1.465897927,1.633328886,0.631366911
1.800575387,1.375812647,1.422818333,1.958647451
1.168970555,1.637363319,1.785029571,0.783413874
3.15274828,6.465960669,0.819500123,1.492586923
0.764682109,0.91351557,2.374522066,0.751866162
0.92778136,1.73074601,2.003610744,0.663239857
1.143156449,0.938707793,1.688159646,4.281469704
0.778963945,1.213711903,1.566605763,0.759021313
0.768181556,1.421976407,1.28889999,0.756582057
1.201056399,2.590579005,0.937884208,0.91854866
2.380438388,1.193531745,1.331725983,1.598613254
2.668302033,2.45604462,1.065103262,2.343236826
3.699855088,3.487738697,0.834877015,1.78432195
0.947891821,1.423163475,1.103005953,0.723733408
1.625137175,1.883086416,2.79064235,2.205988017
1.39116275,1.176385206,2.076718425,1.502994416
0.756626562,1.133386962,1.268307543,0.679989416
0.783008761,3.266680237,0.83096535,0.79138211
0.655608419,0.989883618,1.419558612,0.665679114
0.798631294,1.618502126,1.887362339,0.773331615
0.713781053,2.065894904,0.90566917,0.672509031
0.841544974,0.930794005,1.491924424,3.030293954
0.818366815,1.495706526,0.98871338,0.903425272
1.179309832,0.926045733,1.909888137,2.542605356
0.759705621,0.805888062,1.761222365,1.283623986
1.213895281,2.635687593,1.854810087,0.806993349
1.711100877,0.782014803,1.822415202,3.044279022
1.397923046,1.097906815,1.162939863,1.296308118
1.117387789,1.730218424,1.313561467,1.003434772
0.636327372,2.355407624,0.893889211,0.605510797
6.977883031,1.01731808,1.230494776,3.042327617
1.384913736,1.696584828,1.059190802,4.226667751
1.980115225,0.934091417,1.320912701,0.921150533
1.149939469,1.162008492,2.151692014,0.702755806
0.853770317,1.043565475,1.379452799,0.74861382
0.851532034,0.975902593,1.366908492,0.752028779
1.618001938,1.818720946,0.881165058,1.190769638
1.854930442,1.109118014,2.197507959,2.892069443
0.597174462,0.869462154,1.427179615,0.636408041
0.97927323,1.360512658,0.950855651,1.047829232
1.466230444,2.085943165,0.824288541,1.353874561
0.632146214,0.783465664,1.980230674,0.652994982
1.059465116,1.103974052,1.261136157,1.197436938
2.660860026,1.512457375,1.133714775,1.053846064
1.027458805,1.369877307,1.096711318,0.803903625
2.875803365,2.209925834,1.25155932,0.918386043
1.571418383,3.529549874,0.747898659,1.812942555
1.351839412,1.852486438,0.846477127,1.146700412
2.572680766,1.757784783,1.094170984,2.233958154
2.136863206,1.148950743,1.132972908,4.092508667
0.743685423,1.088146477,1.042892196,0.696088506
0.863984613,1.316195449,1.215252769,1.176621953
0.687978309,0.92617763,1.163861577,0.667305284
2.873474188,0.890961276,1.669298224,0.991238491
0.654722195,1.09883009,1.038688279,0.842443871
0.846691889,1.056491328,1.0236486,0.633155699
0.593924976,0.933168142,1.316439014,0.610389309
0.999872251,1.320679929,1.169706595,0.902612187
0.913192754,0.918263842,1.121732489,0.958064609
0.794007024,0.981178452,1.056942719,0.753654949
0.762511997,4.613870637,0.709793641,2.437066876
2.027709983,1.479219469,0.993524279,2.755471103
1.052659372,0.938707793,1.535851979,1.304276354
0.627396964,0.590237357,1.318911906,0.613153799
1.527550309,1.110700771,1.189624616,1.184427572
1.2051353,2.165081039,0.773908987,1.197436938
0.644689688,0.909690573,1.071263011,0.618194929
1.172583621,1.241014469,0.889325602,2.101100006
0.85539506,1.142619713,0.91641501,0.692836165
0.712644869,1.057282707,1.170515905,0.628439804
1.901627616,1.135233512,0.916504933,6.166689417
0.652688426,1.807641644,0.808686841,0.839516763
0.901683207,1.0091405,0.975427205,0.697226825
1.156631594,1.756729612,1.459619462,1.13401628
4.119947858,1.511138411,2.075976557,1.238741674
0.618034806,0.848094928,1.149541284,0.68584363
2.141873778,1.518656509,0.823074576,1.036120803
0.55905548,1.396652287,0.838856124,0.587785536
1.040786246,0.895841445,1.054334942,1.302650184
1.295018837,1.959190671,0.802234841,1.101492866
0.723938541,0.910877641,1.012790356,0.680802501
0.902842115,1.523140988,0.84789342,1.035470335
0.810209012,0.870517325,1.417827587,0.683566991
0.937450288,1.608082306,0.786475774,0.729262389
3.048776058,0.716726058,1.775565139,2.967686381
0.847089553,0.846116481,1.069217255,0.996930089
1.366984749,2.227731855,0.838901085,1.9848288
0.866325153,1.08656372,1.092102747,0.625675314
1.849101817,2.001001848,0.911671553,1.823837899
0.982454546,1.456928968,3.051262687,0.687307184
2.092983769,1.474866886,0.803651134,1.216300519
0.697045059,1.118746455,0.870711469,0.730563325
0.873426304,0.92987073,1.707088511,0.665516496
1.337125826,1.663083128,0.845667817,0.67088286
6.257735359,1.229803271,2.025012501,1.723340548
0.939677209,1.16992228,0.836473155,0.761785803
0.839613461,0.782938079,2.030385421,1.440712078
1.005110061,1.096060265,0.936175665,0.971073974
1.245787973,3.933153028,0.727531021,0.731376411
0.772453609,2.200165496,0.730678338,2.471379078
0.883345193,1.032090483,1.115280489,1.340865196
1.438882489,1.701201204,0.901150522,2.173139369
1.018994232,1.74934341,0.833033587,0.705357679
0.982159138,1.126264553,0.942964877,0.839191529
0.654756281,1.445190183,0.884042605,0.717391342
0.605309542,0.738752766,1.10561373,0.842281254
1.206725958,1.024176696,0.978304752,1.044576891
0.736731976,0.803382029,0.983115651,1.365420373
2.071532611,0.819869086,1.188095919,1.043113337
2.279442969,1.049237023,0.90701802,1.641218927
0.611263147,0.705646755,1.04435345,0.739669881
1.083029577,1.095796472,0.860999748,0.986197362
2.131489054,1.265283417,0.768108931,2.5334988
1.455050391,1.090784406,1.57161899,1.71992559
0.752399957,0.957964675,0.840766995,0.853989683
1.165323404,1.111228357,1.032438607,1.027989949
0.846953211,1.063349944,0.821118744,0.96245527
2.123285804,1.22795672,1.298971404,0.909442104
1.845988672,1.41142469,0.821186186,0.92911877
1.739357779,1.666116746,1.136704727,2.08256166
0.848702935,2.920583937,0.692933014,2.434790237
0.722768271,0.867879396,0.86160673,0.618357546
3.620106315,1.469063442,1.365627085,2.753519698
0.773248938,0.971286217,0.819702451,1.248661316
0.821377703,0.742973452,1.15131727,1.134178897
0.78121359,0.787554454,0.918146034,0.748776437
1.728132279,0.693644178,1.203810024,2.373646218
1.072076761,1.026418936,0.879119302,0.703894125
1.068509142,1.591727145,0.776314436,0.802114837
0.693091138,0.791775141,1.143493939,0.805855029
0.854361132,2.153737943,0.730498492,3.480255392
0.716394277,0.825804427,1.044151123,0.710236191
0.968968039,0.895841445,0.824400946,0.834800868
1.24761723,0.764076885,0.970413979,0.685518396
1.009984291,1.817270085,1.272399056,0.825043844
1.730279667,1.175593827,0.767771718,0.73918203
0.829319631,0.999380162,0.976258996,0.695925889
2.216305209,0.684939012,1.574204286,2.602448438
0.680729453,1.392167808,0.766220541,0.619983716
0.789462287,0.81116392,1.155139012,1.276794069
1.130828849,1.48067033,0.715458812,1.560073008
2.20298913,2.264926656,0.85971834,2.567973619
0.590152844,0.759196716,0.936400473,0.644051043
1.586166055,0.847567342,0.869609908,0.991726342
0.637770326,0.754052755,0.900993156,0.729912857
0.882515778,1.212129146,0.795602994,0.789268088
1.244504085,0.891884551,1.018905143,1.001645984
0.873210429,0.877244044,0.836495636,0.692185696
0.870017752,0.797050999,0.917089435,0.76308674
0.603980206,0.767901883,0.93792917,0.615593055
0.811936012,0.9049423,0.94330209,0.61477997
1.051898129,0.785444111,0.935298912,0.928956153
0.846112435,0.707888995,1.215837271,1.484943921
0.896468121,3.027551963,0.764669363,2.535287588
0.82881971,0.758273441,1.019714453,0.889440204
0.937313946,1.204347255,1.034304516,0.800488666
0.716871475,1.244443777,0.723596875,0.784064342
2.152951575,0.699975208,0.96776124,1.050593722
0.92272534,0.837147522,0.813745029,1.357777371
0.690250677,1.188783473,0.760712736,0.681615587
0.833205381,1.50111428,0.706129265,0.767314783
0.847782626,1.234155854,0.721888331,0.997905791
1.818833868,0.802722547,0.859358646,2.005155934
0.627851438,1.372910925,0.790747133,0.633318316
1.087971979,0.756690684,1.085133688,0.780812
3.205330887,0.834113903,1.554061456,2.05703078
